feature,type,count,pct
"Хотя бы один признак",boolean,26,81.2
"Без единого признака",boolean,6,18.8
"ГЛОНАСС/мониторинг",boolean,9,28.1
"Кондиционер",boolean,3,9.4
"Медосмотр",boolean,9,28.1
"Требования безопасности",boolean,5,15.6
"Требования к водителю",boolean,4,12.5
"Кол-во сотрудников",boolean,5,15.6
"Кол-во автобусов",boolean,0,0.0
"Кол-во маршрутов",boolean,1,3.1
"Вместимость",boolean,1,3.1
