filename,segment,duration
"ООО "СДЭК-ГЛОБАЛ" - ТЗ перевозка работников.docx","Логистика/Почта","услуг в течение 1 (одн"
"ООО "СДЭК-ГЛОБАЛ" - ТЗ_перевозка_работников_Екат_Итоговый вариант.docx","Логистика/Почта","услуг в течение 1 (одн"
"СДЭК ГЛОБАЛ ТЗ перевозка работников Видное.docx","Логистика/Почта","услуг в течение 1 (одн"
" УФПС "ТАТАРСТАН ПОЧТАСЫ".docx","Логистика/Почта","услуг: в течение 6 месяц"
"АО "РОССЕТИ НАУЧНО- ТЕХНИЧЕСКИЙ ЦЕНТР".docx","Госсектор","услуги: 12 месяц"
