"segment","ГЛОНАСС/мониторинг","Кондиционер","Медосмотр","Требования безопасности","Требования к водителю","Кол-во сотрудников","Кол-во автобусов","Кол-во маршрутов","Вместимость","Хотя бы один признак","Без единого признака"
Торговля/Производство,1 (10.0%),0 (0.0%),1 (10.0%),1 (10.0%),1 (10.0%),1 (10.0%),0 (0.0%),0 (0.0%),1 (10.0%),8 (80.0%),2 (20.0%)
Промышленность,2 (28.6%),0 (0.0%),2 (28.6%),1 (14.3%),2 (28.6%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),6 (85.7%),1 (14.3%)
Строительство,1 (25.0%),1 (25.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (25.0%),0 (0.0%),0 (0.0%),0 (0.0%),2 (50.0%),2 (50.0%)
IT/Услуги,2 (66.7%),1 (33.3%),1 (33.3%),0 (0.0%),1 (33.3%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),3 (100.0%),0 (0.0%)
Госсектор,1 (33.3%),0 (0.0%),2 (66.7%),1 (33.3%),0 (0.0%),1 (33.3%),0 (0.0%),0 (0.0%),0 (0.0%),2 (66.7%),1 (33.3%)
Логистика/Почта,2 (66.7%),1 (33.3%),3 (100.0%),2 (66.7%),0 (0.0%),1 (33.3%),0 (0.0%),1 (33.3%),0 (0.0%),3 (100.0%),0 (0.0%)
Транспорт/Перевозки,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (50.0%),0 (0.0%),0 (0.0%),0 (0.0%),2 (100.0%),0 (0.0%)
ИТОГО,9 (28.1%),3 (9.4%),9 (28.1%),5 (15.6%),4 (12.5%),5 (15.6%),0 (0.0%),1 (3.1%),1 (3.1%),26 (81.2%),6 (18.8%)
